State,City,Avg In Rain / Year
South Carolina,Myrtle Beach,51.4
South Carolina,Lake Moultrie (Pinopolis Dam),49.6
South Carolina,Sullivan's Island,49.7
South Carolina,Clarks Hill,45.1
South Carolina,Columbia,46.3
South Carolina,Florence,42.9
South Carolina,Orangeburg,47
South Carolina,Sumter,46.9
South Carolina,Anderson,48.4
South Carolina,Caesars Head State Park,70
South Carolina,Calhoun Falls,44.4
South Carolina,Greer,47.2
South Carolina,Longcreek,62.1
South Carolina,Ninety Nine Islands Reservoir,46
South Carolina,Spartanburg,48.4
Pennsylvania,Allentown,45.4
Pennsylvania,Chambersburg,41.7
Pennsylvania,George B. Stevenson Reservoir,41.9
Pennsylvania,Harrisburg,40.9
Pennsylvania,Lancaster,42.8
Pennsylvania,Matamoras,46
Pennsylvania,Norristown,48.4
Pennsylvania,Philadelphia,41.5
Pennsylvania,State College,39.6
Pennsylvania,Towanda,35.7
Pennsylvania,Wilkes-Barre & Scranton,38.3
Pennsylvania,Williamsport,41.3
Pennsylvania,York,42.9
Pennsylvania,Altoona,35.6
Pennsylvania,Bradford,48.6
Pennsylvania,Butler,41.8
Pennsylvania,Erie,42.2
Pennsylvania,Indiana,46.5
Pennsylvania,Jamestown,42.5
Pennsylvania,New Castle,39.5
Pennsylvania,Pittsburgh,38.2
Pennsylvania,Uniontown,43.1
Pennsylvania,Warren,47.1
Pennsylvania,Youghiogheny River Lake,45.5
Oregon,Astoria,67.3
Oregon,Brookings,77.2
Oregon,Gold Beach,77.1
Oregon,Honeyman State Park,71
Oregon,Newport,67.2
Oregon,North Bend,64.9
Oregon,Port Orford,72.6
Oregon,Seaside,75.4
Oregon,Tillamook,88
Oregon,Corvallis,42.7
Oregon,Eugene,46.1
Oregon,Portland,43.5
Oregon,Salem,39.7
Oregon,Crater Lake Park,66.2
Oregon,Detroit Lake Dam,90.7
Oregon,Government Camp,87.3
Oregon,Howard Prairie Lake Dam,31.5
Oregon,Klamath Falls,14.2
Oregon,Lakeview,14.7
Oregon,McKenzie Bridge,68.4
Oregon,Medford,18.4
Oregon,Three Lynx,70.5
Oregon,Toketee Falls,48.3
Oregon,Wickiup Reservoir Dam,21.3
Oregon,Bend,11.4
