RegionID,RegionName,State,Metro,CountyName,SizeRank,2018-03
5534,Lancaster,California,Los Angeles-Long Beach-Anaheim,Los Angeles,135,273743
4764,Fort Collins,Colorado,Fort Collins,Larimer,136,377396
40897,Shreveport,Louisiana,Shreveport,Caddo,137,95767
31471,Evansville,Indiana,Evansville,Vanderburgh,138,114191
34937,Yonkers,New York,New York,Westchester,139,481116
18518,Hayward,California,San Francisco,Alameda,140,660781
31606,Fort Lauderdale,Florida,Miami-Fort Lauderdale,Broward,141,300487
37837,Chattanooga,Tennessee,Chattanooga,Hamilton,142,142265
17539,Columbus,Georgia,Columbus,Muscogee,143,82851
10215,Aurora,Illinois,Chicago,Kane,144,177435
13108,Ontario,California,Riverside,San Bernardino,145,411471
31821,Grand Prairie,Texas,Dallas-Fort Worth,Dallas,146,190297
40492,Rancho Cucamonga,California,Riverside,San Bernardino,147,509309
40202,Overland Park,Kansas,Kansas City,Johnson,148,293084
26140,Newport News,Virginia,Virginia Beach,Newport News City,149,175661
24832,Garden Grove,California,Los Angeles-Long Beach-Anaheim,Orange,150,594965
6792,Roanoke,Virginia,Roanoke,Roanoke City,151,147202
7087,Sioux Falls,South Dakota,Sioux Falls,Minnehaha,152,180251
47958,Tempe,Arizona,Phoenix,Maricopa,153,270817
48215,Vancouver,Washington,Portland,Clark,154,303788
38333,El Cajon,California,San Diego,San Diego,155,506259
40227,Palmdale,California,Los Angeles-Long Beach-Anaheim,Los Angeles,156,305621
41256,Topeka,Kansas,Topeka,Shawnee,157,107011
17950,Elk Grove,California,Sacramento,Sacramento,158,430424
47250,Pueblo,Colorado,Pueblo,Pueblo,159,146760
11529,Fredericksburg,Virginia,Washington,Spotsylvania,160,278938
30742,Cape Coral,Florida,Fort Myers,Lee,161,220843
7221,Springfield,Massachusetts,Springfield,Hampden,162,149840
19892,Pembroke Pines,Florida,Miami-Fort Lauderdale,Broward,163,295719
19523,Murfreesboro,Tennessee,Nashville,Rutherford,164,232265
10843,Clarksville,Tennessee,Clarksville,Montgomery,165,151940
39931,Naperville,Illinois,Chicago,Du Page,166,386898
40298,Peoria,Arizona,Phoenix,Maricopa,167,271167
4655,Fairfax,Virginia,Washington,Fairfax,168,537400
54311,Santa Clarita,California,Los Angeles-Long Beach-Anaheim,Los Angeles,169,558101
20008,Pomona,California,Los Angeles-Long Beach-Anaheim,Los Angeles,170,418335
39312,Lafayette,Louisiana,Lafayette,Lafayette,171,160524
30559,Boynton Beach,Florida,Miami-Fort Lauderdale,Palm Beach,172,243360
7353,Syracuse,New York,Syracuse,Onondaga,173,81983
20317,Salem,Oregon,Salem,Marion,174,259351
32060,Hollywood,Florida,Miami-Fort Lauderdale,Broward,175,260812
19873,Paterson,New Jersey,New York,Passaic,176,225520
5519,Lakewood,Colorado,Denver,Jefferson,177,394871
28065,Yuma,Arizona,Yuma,Yuma,178,145232
54626,Sunnyvale,California,San Jose,Santa Clara,179,1895160
21114,Visalia,California,Visalia,Tulare,180,227441
6286,Odessa,Texas,Odessa,Ector,181,148096
25514,Las Cruces,New Mexico,Las Cruces,Dona Ana,182,161535
4054,Charleston,South Carolina,Charleston,Charleston,183,304221
35282,Beaumont,Texas,Beaumont,Jefferson,184,97064
19865,Pasadena,Texas,Houston,Harris,185,139254
3806,Bridgeport,Connecticut,Stamford,Fairfield,186,164802
38438,Eugene,Oregon,Eugene,Lane,187,291627
11337,Escondido,California,San Diego,San Diego,188,512527
19360,Midland,Texas,Midland,Midland,189,218363
6183,Newark,Delaware,Philadelphia,New Castle,190,238601
41114,Sugar Land,Texas,Houston,Fort Bend,191,296916
26857,Round Rock,Texas,Austin,Williamson,192,261526
5052,Hampton,Virginia,Virginia Beach,Hampton City,193,153453
47019,Pasadena,California,Los Angeles-Long Beach-Anaheim,Los Angeles,194,810145
54722,Torrance,California,Los Angeles-Long Beach-Anaheim,Los Angeles,195,828217
4174,Columbia,South Carolina,Columbia,Richland,196,128499
41324,Tyler,Texas,Tyler,Smith,197,137871
12694,Mesquite,Texas,Dallas-Fort Worth,Dallas,198,162852
24812,Fullerton,California,Los Angeles-Long Beach-Anaheim,Orange,199,641750
21159,Warren,Michigan,Detroit,Macomb,200,124195
32783,McKinney,Texas,Dallas-Fort Worth,Collin,201,312447
48443,West Valley City,Utah,Salt Lake City,Salt Lake,202,268209
13480,Renton,Washington,Seattle,King,203,484249
51260,Canton,Ohio,Canton,Stark,204,93684
47570,Santa Maria,California,Santa Maria-Santa Barbara,Santa Barbara,205,376598
4521,Edinburg,Texas,McAllen,Hidalgo,206,109260
45888,Inglewood,California,Los Angeles-Long Beach-Anaheim,Los Angeles,207,533114
33252,Orange,California,Los Angeles-Long Beach-Anaheim,Orange,208,692624
6155,New Haven,Connecticut,New Haven,New Haven,209,164092
44821,Cumming,Georgia,Atlanta,Forsyth,210,311285
398007,Flint,Michigan,Flint,Genesee,211,16768
23394,Abilene,Texas,Abilene,Taylor,212,124332
24174,Compton,California,Los Angeles-Long Beach-Anaheim,Los Angeles,213,392644
25818,McAllen,Texas,McAllen,Hidalgo,214,129441
3619,Bellevue,Washington,Seattle,King,215,947663
54263,Saginaw,Michigan,Saginaw,Saginaw,216,91716
17070,Bloomington,Indiana,Bloomington,Monroe,217,173231
33230,Olathe,Kansas,Kansas City,Johnson,218,246236
39815,Miramar,Florida,Miami-Fort Lauderdale,Broward,219,291638
8814,Queen Creek,Arizona,Phoenix,Pinal,220,281228
17571,Coral Springs,Florida,Miami-Fort Lauderdale,Broward,221,348771
17882,East Los Angeles,California,Los Angeles-Long Beach-Anaheim,Los Angeles,222,439748
11786,Hamilton,Ohio,Cincinnati,Butler,223,149938
5071,Hartford,Connecticut,Hartford,Hartford,224,124804
47584,Savannah,Georgia,Savannah,Chatham,225,129107
27110,Simi Valley,California,Ventura,Ventura,226,570244
51518,Concord,California,San Francisco,Contra Costa,227,594270
47847,Sterling Heights,Michigan,Detroit,Macomb,228,194780
31388,Elizabeth,New Jersey,New York,Union,229,262794
18208,Frisco,Texas,Dallas-Fort Worth,Collin,230,397293
32238,Joliet,Illinois,Chicago,Will,231,139126
17321,Carrollton,Texas,Dallas-Fort Worth,Denton,232,265440
37427,Billings,Montana,Billings,Yellowstone,233,221193
16726,Allentown,Pennsylvania,Allentown,Lehigh,234,124562
30211,Amherst,New York,Buffalo,Erie,235,225348
34520,Vallejo,California,Vallejo,Solano,236,401251
12038,Independence,Missouri,Kansas City,Jackson,237,110532
13713,Santa Clara,California,San Jose,Santa Clara,238,1405820
51297,Cary,North Carolina,Raleigh,Wake,239,353060
44734,Conroe,Texas,Houston,Montgomery,240,198764
7330,Surprise,Arizona,Phoenix,Maricopa,241,243346
16992,Berkeley,California,San Francisco,Alameda,242,1317283
11865,Hemet,California,Riverside,Riverside,243,256587
33136,Norman,Oklahoma,Oklahoma City,Cleveland,244,162787
4679,Falls Church,Virginia,Washington,Fairfax,245,542002
46101,Lake Charles,Louisiana,Lake Charles,Calcasieu,246,146895
4351,Denton,Texas,Dallas-Fort Worth,Denton,247,216767
4406,Downey,California,Los Angeles-Long Beach-Anaheim,Los Angeles,248,562009
20793,Thornton,Colorado,Denver,Adams,249,351456
4810,Frederick,Maryland,Washington,Frederick,250,282004
34781,Westminster,Colorado,Denver,Adams,251,357111
398300,Lansing,Michigan,Lansing,Ingham,252,79868
27683,Victorville,California,Riverside,San Bernardino,253,244663
34671,Waterbury,Connecticut,New Haven,New Haven,254,107496
6172,New Port Richey,Florida,Tampa,Pasco,255,160610
7386,Temecula,California,Riverside,Riverside,256,464796
38032,Costa Mesa,California,Los Angeles-Long Beach-Anaheim,Orange,257,797339
23534,Athens,Georgia,Athens,Clarke,258,166737
5772,Manchester,New Hampshire,Manchester,Hillsborough,259,227744
41517,Vista,California,San Diego,San Diego,260,538507
26791,Rochester,Minnesota,Rochester,Olmsted,261,211034
7453,Tracy,California,Stockton,San Joaquin,262,496866
34543,Ventura,California,Ventura,Ventura,263,590897
6103,Murrieta,California,Riverside,Riverside,264,430227
19903,Peoria,Illinois,Peoria,Peoria,265,84199
37863,Chico,California,Chico,Butte,266,325642
8097,Ann Arbor,Michigan,Ann Arbor,Washtenaw,267,355049
25659,Lowell,Massachusetts,Boston,Middlesex,268,273037
24822,Gainesville,Georgia,Gainesville,Hall,269,176674
44655,Clovis,California,Fresno,Fresno,270,335594
3934,Cambridge,Massachusetts,Boston,Middlesex,271,781602
13943,Sparks,Nevada,Reno,Washoe,272,324831
13594,Roseville,California,Sacramento,Placer,273,452106
53636,Norwalk,California,Los Angeles-Long Beach-Anaheim,Los Angeles,274,478366
47322,Redding,California,Redding,Shasta,275,257327
51861,El Monte,California,Los Angeles-Long Beach-Anaheim,Los Angeles,276,505717
37965,College Station,Texas,College Station,Brazos,277,230755
396054,Burbank,California,Los Angeles-Long Beach-Anaheim,Los Angeles,278,794919
41641,West Jordan,Utah,Salt Lake City,Salt Lake,279,325609
33024,Nampa,Idaho,Boise City,Canyon,280,193273
4626,Everett,Washington,Seattle,Snohomish,281,370139
37596,Broken Arrow,Oklahoma,Tulsa,Tulsa,282,161357
20071,Provo,Utah,Provo,Utah,283,263491
7191,Spartanburg,South Carolina,Spartanburg,Spartanburg,284,109421
50962,Bend,Oregon,Bend,Deschutes,285,398360
53787,Palm Bay,Florida,Melbourne,Brevard,286,167957
14208,Tuscaloosa,Alabama,Tuscaloosa,Tuscaloosa,287,135769
51447,Clearwater,Florida,Tampa,Pinellas,288,198444
27228,Springfield,Virginia,Washington,Fairfax,289,478552
26575,Pompano Beach,Florida,Miami-Fort Lauderdale,Broward,290,200750
4301,Davenport,Iowa,Davenport,Scott,291,123458
45732,Hesperia,California,Riverside,San Bernardino,292,258121
31819,Grand Junction,Colorado,Grand Junction,Mesa,293,224676
41084,Stone Mountain,Georgia,Atlanta,Dekalb,294,139777
